file_id,file_name,currency,gross_amount_display,net_amount_display,missing_count,missing_fields,warnings,latest_workflow_status,latest_stage_name,latest_stage_status,ai_history_rows,file_type,workflow_type,company_name
fed394ed-f20b-4caf-ae91-e8a883e38681,250708_Neko_Sushi.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
e972daf6-d419-4f55-8ead-93b828cf4329,Kvitto_2025-06-30_165915.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
e4669830-1b66-4d7c-b9c5-e349722e6a58,1_page_midjourney.jpg,USD,12.50,10.00,,"payment_type,sek_amounts(gross_amount_sek/net_amount_sek),exchange_rate",,succeeded,KLAR,succeeded,7,receipt,receipt,Midjourney Inc
e1a95739-4c62-4882-aa5c-a303190d5e18,unknown_Udio_2025-04-30_12.50.pdf,USD,12.50,10.00,0,,,succeeded,KLAR,succeeded,8,invoice,receipt,Udio
dae2fa31-8455-4047-9261-c0c871ec409c,Kvitto_2025-06-30_170640.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
d374ea63-2bbe-49c6-aef9-666b0b2bb7dd,1-page-autodesk.pdf,SEK,680.00,680.00,,"payment_type,vat_breakdown(total_vat_25/12/6)",,succeeded,KLAR,succeeded,9,receipt,receipt,Autodesk Ireland Operations UC
d36b2ce3-47eb-4bad-87d2-56cc81d0d783,Kvitto_2025-06-30_165938.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
d1509669-c667-4f06-b397-9c57c611d7d0,unknown_AZ-Delivery_Vertriebs_GmbH_2025-05-15_104695.pdf,SEK,339.15,271.32,0,,,succeeded,KLAR,succeeded,9,invoice,receipt,AZ-Delivery Vertriebs GmbH
cd391a80-9f7d-4c72-b324-b1d4ddf81a9c,1-page-autodesk.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
c96e2f34-692b-4001-bfdc-2fabc7dc0aad,FC_Webhallen_Sverige_AB_2025-06-02_194700.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
c5ba5dcc-87fe-4730-8ed5-6a808c1f312f,2-pages-jula.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
