file_id,file_name,currency,gross_amount_display,net_amount_display,missing_count,missing_fields,warnings,latest_workflow_status,latest_stage_name,latest_stage_status,ai_history_rows,file_type,workflow_type,company_name
ff9a884d-a808-4038-b092-3b7552950139,6915044249367_1762985026.jpeg,SEK,,,0,,,failed,finalize_fail_end,failed,4,other,receipt,
fa1e109e-6ae2-49ad-9abb-21a0f6437cfa,6915c002e8ccc_1763033090.jpeg,SEK,1147.50,918.00,0,,,succeeded,KLAR,succeeded,9,receipt,receipt,Clas Ohlson
f2f65234-fe79-4c77-bfc2-9bab439867cb,691502c526e35_1762984645.jpeg,SEK,11700.00,,3,"net_amount,credit_card_brand_short,credit_card_last_4_digits",,succeeded,KLAR,succeeded,8,receipt,receipt,SANDHAMN HOTELL OCH RESTAURANG AB
edfbaa30-789d-4e7b-96ef-7a88036b3bb8,photo_6914fe2203e015.44642334.jpg,SEK,323.22,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
edf78f35-92f4-4457-ab23-c950cbcd6d3f,FC_2507.pdf,SEK,,,0,,,succeeded,KLAR,succeeded,4,fc_invoice,creditcard_invoice,
ed507707-b42f-4c00-be9b-145bd9af8ab8,unknown_AZ-Delivery_Vertriebs_GmbH_2025-05-15_104695.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
eb7ce2d0-f2f1-415e-94b8-0721438177e0,6915053d0c8f3_1762985277.jpeg,SEK,438.95,351.16,2,"credit_card_brand_short,credit_card_last_4_digits","gross_header_items_mismatch_gt_2,net_header_items_mismatch_gt_2",succeeded,KLAR,succeeded,9,receipt,receipt,BAUHAUS
e66e602e-e859-4e56-9178-bab4b088157b,FC_2508.pdf,SEK,,,0,,,succeeded,KLAR,succeeded,4,fc_invoice,creditcard_invoice,
e4e8270f-0b52-43f2-bf49-d9f67ea42797,1-page-kjell.jpg,SEK,2980.00,2384.00,1,credit_card_last_4_digits,,succeeded,KLAR,succeeded,8,receipt,receipt,Kjell & Co Kungsholmen Sthlm
e4dbe2cf-b2d5-4226-9731-035ffcd23215,250708_Neko_Sushi.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
e10d23a7-7aac-4e51-a3c0-512aa1b8710c,3-pages-ms.pdf,SEK,138.13,110.50,4,"vat_breakdown(total_vat_25/12/6),credit_card_brand_short,credit_card_last_4_digits,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,Microsoft AB
df8803d3-982d-4b78-a8dc-2f6dd6c1f30d,Kvitto_2025-06-30_165915.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
df167fc9-0cba-4c79-9e58-571fa49745db,Kvitto_2025-06-30_170640.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
dc61cb8b-02f4-478b-a159-7523644938a9,FC_Webhallen_Sverige_AB_2025-06-02_194700.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
dc5183e5-7205-4fb1-a2e2-c4aa14dcd92e,FC_2505.pdf-page-0002.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
db542a1b-c618-4125-aed2-eeeaed961669,photo_6914fe98a433b5.85808156.jpg,SEK,920.70,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,Rusta
db05b28c-ab8f-4c69-acce-2f1262f2ea76,691505264fee3_1762985254.jpeg,SEK,,,0,,,failed,finalize_fail_end,failed,4,other,receipt,
da0d00b1-9284-4c84-a399-4fec33a83b92,6915026200672_1762984546.jpeg,SEK,395.80,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
d9088522-89e8-4178-be4c-2fabbb53fc2b,6915027533c28_1762984565.jpeg,SEK,393.00,350.89,2,"credit_card_brand_short,credit_card_last_4_digits",gross_header_items_mismatch_gt_2,succeeded,KLAR,succeeded,9,receipt,receipt,Grekiska Grill&BAR
d3834a42-4b04-453c-b136-75507ff37783,6915047b7dac7_1762985083.jpeg,SEK,399.50,319.60,1,receipt_items,,succeeded,KLAR,succeeded,8,receipt,receipt,
d002afec-9038-4a30-b9c2-d072c936d74a,6915023394fde_1762984499.jpeg,SEK,258.90,207.12,1,receipt_items,,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
cd011679-0312-42be-a493-c0a5bcfabda5,2-pages-jula.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
c541e0a1-8941-4230-95ae-d05fcdd68aa4,photo_6914fdf4d8d3f6.87433514.jpg,SEK,239.65,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
c0bffee0-4fe4-40fc-852d-b503b93d7b6e,photo_68b4a0e12436a2.02743784.jpg,SEK,,,0,,,failed,finalize_fail_end,failed,4,other,receipt,
be3f6450-bfe6-4c5b-8a31-4a02320a1584,Kvitto_2025-06-30_165938.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
bc9b49ab-2f70-4403-9f17-f41e161eb344,691502e977e2f_1762984681.jpeg,SEK,,,0,,,failed,finalize_fail_end,failed,3,image,receipt,
b7726d84-7e00-4792-974f-9a690ffc4735,FC_2507.pdf-page-0002.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
b72e2fd3-3094-4fe5-8685-e05eb87feb60,241204_Dustin.pdf-page-0004.png,SEK,,,0,,,,,,0,pdf_page,receipt,
b6808511-6f0e-4045-86e4-97928bb859f6,FC_2507.pdf-page-0001.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
b64b8c6f-a597-4b5a-9c0e-982381d9f462,FC_2509.pdf,SEK,,,0,,,succeeded,KLAR,succeeded,4,fc_invoice,creditcard_invoice,
b5928be7-a671-4e32-be6a-244441319e44,photo_68f3a9128d9335.73583617.jpg,SEK,323.22,258.58,2,"credit_card_last_4_digits,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
b5867f95-a044-440b-bdfb-0871bfc77dd7,FC_2508.pdf-page-0002.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
b476705d-77f6-4b5c-a4c8-2e6a91eb6459,6915039427513_1762984852.jpeg,SEK,69.90,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
b3105bf6-3d42-49f5-8557-ea3ba96737b1,photo_68b5d14befd6b8.95349031.jpg,SEK,660.00,,,"payment_type,net_amount,vat_breakdown(total_vat_25/12/6)",,succeeded,KLAR,succeeded,8,receipt,receipt,UBEREATS
b21e8d99-fe9d-4798-86fe-de4c6a7bd6c9,FC_2506.pdf,SEK,,,0,,,succeeded,KLAR,succeeded,4,fc_invoice,creditcard_invoice,
aed31702-41c1-41b9-a7a3-72ff578fe6c5,6924c196c843e_1764016534.jpeg,SEK,79.80,63.84,2,"credit_card_last_4_digits,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
ae0628ad-2f4b-411c-9b19-d462695de0a5,Jula_Bromma_2025-12-12.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
ae05be68-522e-4277-807c-a5b38a15c9d5,FC_2507.pdf-page-0003.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
ab1d476c-3ce9-4267-8b20-aa3530d42b9c,1-page-autodesk.pdf,SEK,680.00,680.00,,"payment_type,vat_breakdown(total_vat_25/12/6)",,succeeded,KLAR,succeeded,9,receipt,receipt,Autodesk Ireland Operations UC
ab031e57-17de-4866-b580-974e19148050,FC_2506.pdf-page-0001.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
aaf7d358-e463-4d44-b7d3-f103be461796,6915030b6ff62_1762984715.jpeg,SEK,,,0,,,failed,finalize_fail_end,failed,4,other,receipt,
aa495530-a43a-4575-a00e-563b0f068677,Jula_Bromma_2025-12-12.pdf,SEK,429.40,343.52,1,vat_breakdown(total_vat_25/12/6),,succeeded,KLAR,succeeded,9,receipt,receipt,JULA
aa367a07-ec6c-4ed1-ab8b-2c0835e88b73,Kvitto_2025-06-30_165938.pdf,SEK,727.11,581.69,0,,,succeeded,KLAR,succeeded,9,receipt,receipt,Circle K Sollentuna
a5a788b2-0811-4132-92ce-bfdd9bf4c28c,photo_68ee8b39422377.65593086.jpg,SEK,399.75,319.80,1,credit_card_last_4_digits,,succeeded,KLAR,succeeded,9,receipt,receipt,BAUHAUS
a25f569d-6d21-4c94-9bac-ef3310f95c9d,691b5183cecac_1763398019.jpeg,SEK,310.00,276.78,0,,,succeeded,KLAR,succeeded,9,receipt,receipt,Ruccola Bromma AB
9f5f6e60-4f6e-4117-bac3-6b8ed3e8f1fd,6915036020810_1762984800.jpeg,SEK,261.80,209.44,,"payment_type,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
9e49c974-5f36-448f-b395-d9fbec10ed86,691504667b0d7_1762985062.jpeg,SEK,75.00,,5,"net_amount,vat_breakdown(total_vat_25/12/6),credit_card_brand_short,credit_card_last_4_digits,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,ALERIS SJUKVARD AB
9db1ced4-80a8-4726-83bd-c2fd6c9fa597,FC_Webhallen_Sverige_AB_2025-06-02_194700.pdf,SEK,1947.00,1557.60,2,"credit_card_brand_short,credit_card_last_4_digits",,succeeded,KLAR,succeeded,9,receipt,receipt,Webhallen Sverige AB
9d4dbe8b-f930-4f44-8266-e5c9a745feff,photo_68be7ad9d1e7c3.81863965.jpg,SEK,358.90,,3,"net_amount,vat_breakdown(total_vat_25/12/6),receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
9b5504a6-7adc-4c43-87f0-2015f9e3b52e,241204_Dustin.pdf,SEK,,,0,,,succeeded,KLAR,succeeded,8,invoice,receipt,Dustin
99a4c44a-b731-4560-99a9-6d1575cce842,FC_2505.pdf-page-0003.png,SEK,,,0,,,,,,0,cc_image,creditcard_invoice,
979a66ed-ad4c-4510-86aa-fbe36abe25d1,Jula_Bromma_2025-12-12.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
978813e8-ad3f-4646-b44c-84d000212ac1,unknown_unknown_1970-01-01_.pdf,SEK,511.00,408.80,0,,,succeeded,KLAR,succeeded,9,receipt,receipt,Hornbach Byggmarknad AB
941cc8e9-61ab-4e59-9272-8773954df5b7,1-page-autodesk.pdf-page-0001.png,SEK,,,0,,,,,,0,pdf_page,receipt,
9273d369-775c-4b2f-b781-eaca9192f70f,691502d605c9e_1762984662.jpeg,SEK,84.95,,4,"net_amount,vat_breakdown(total_vat_25/12/6),credit_card_last_4_digits,receipt_items",,succeeded,KLAR,succeeded,8,receipt,receipt,BAUHAUS
8fa67cd6-b4dd-4181-b3d6-ce3e0a72544f,68ee403a8280a_1760444474.jpeg,SEK,149.80,119.84,1,receipt_items,,succeeded,KLAR,succeeded,8,receipt,receipt,Clas Ohlson
8f10cf2b-f996-4ee5-be4b-18c5ab2b3187,unknown_AZ-Delivery_Vertriebs_GmbH_2025-05-15_104695.pdf-page-0003.png,SEK,,,0,,,,,,0,pdf_page,receipt,
8db31ee0-ee1c-49eb-8ce0-9f5d58132ab1,2-pages-jula.pdf-page-0002.png,SEK,,,0,,,,,,0,pdf_page,receipt,
