file_id,file_name,currency,gross_amount_display,net_amount_display,missing_count,missing_fields,warnings,latest_workflow_status,latest_stage_name,latest_stage_status,ai_history_rows,file_type,workflow_type,company_name
659d0b0e-b162-4ce3-9cf8-80958b92ea13,693feefdbfe48_1765797629_-_Copy.jpeg,SEK,273.85,,0,,,succeeded,KLAR,succeeded,7,other,receipt,BALHAUS
5e75831c-daca-4381-b5d7-4e6774770276,691504667b0d7_1762985062.jpeg,SEK,75.00,75.00,2,"credit_card_brand_short,credit_card_last_4_digits",vat_present_but_gross_equals_net,succeeded,KLAR,succeeded,7,receipt,receipt,Aleris Ortopedi
3de121ab-a223-403b-ab19-7e4f60b89459,1_page_midjourney.jpg,USD,12.50,10.00,0,,,succeeded,KLAR,succeeded,7,invoice,receipt,Midjourney Inc
